,Date,Home,homeGoals,Visitor,awayGoals
1214,2010-04-10,Minnesota Wild,3,Dallas Stars,4
1217,2010-04-10,Nashville Predators,2,St. Louis Blues,1
1219,2010-04-10,San Jose Sharks,3,Phoenix Coyotes,2
1220,2010-04-10,Tampa Bay Lightning,4,Florida Panthers,3
1228,2010-04-11,Philadelphia Flyers,2,New York Rangers,1
1229,2010-04-11,Washington Capitals,3,Boston Bruins,4
6,2010-10-08,Carolina Hurricanes,2,Minnesota Wild,1
15,2010-10-09,New York Islanders,4,Dallas Stars,5
21,2010-10-09,Vancouver Canucks,1,Los Angeles Kings,2
33,2010-10-12,Detroit Red Wings,4,Colorado Avalanche,5
47,2010-10-15,Anaheim Ducks,4,Atlanta Thrashers,5
56,2010-10-16,Dallas Stars,3,St. Louis Blues,2
79,2010-10-20,Chicago Blackhawks,2,Vancouver Canucks,1
114,2010-10-25,Minnesota Wild,2,Los Angeles Kings,3
116,2010-10-26,Calgary Flames,5,Edmonton Oilers,4
129,2010-10-28,Columbus Blue Jackets,3,Edmonton Oilers,2
154,2010-10-30,St. Louis Blues,4,Atlanta Thrashers,3
171,2010-11-03,Washington Capitals,5,Toronto Maple Leafs,4
186,2010-11-06,Atlanta Thrashers,4,Chicago Blackhawks,5
187,2010-11-06,Boston Bruins,1,St. Louis Blues,2
194,2010-11-06,Phoenix Coyotes,3,Pittsburgh Penguins,4
196,2010-11-06,Toronto Maple Leafs,2,Buffalo Sabres,3
214,2010-11-10,New Jersey Devils,4,Buffalo Sabres,5
223,2010-11-11,San Jose Sharks,2,New York Islanders,1
224,2010-11-11,St. Louis Blues,2,Nashville Predators,3
238,2010-11-13,Nashville Predators,4,Chicago Blackhawks,3
279,2010-11-19,Edmonton Oilers,3,Phoenix Coyotes,4
280,2010-11-19,Pittsburgh Penguins,5,Carolina Hurricanes,4
282,2010-11-20,Boston Bruins,3,Los Angeles Kings,4
284,2010-11-20,Carolina Hurricanes,1,Nashville Predators,2
285,2010-11-20,Dallas Stars,3,Colorado Avalanche,4
292,2010-11-20,Washington Capitals,4,Philadelphia Flyers,5
312,2010-11-24,New Jersey Devils,2,Calgary Flames,1
313,2010-11-24,Nashville Predators,1,St. Louis Blues,2
329,2010-11-26,Philadelphia Flyers,2,Calgary Flames,3
337,2010-11-27,New Jersey Devils,2,Philadelphia Flyers,1
338,2010-11-27,Nashville Predators,1,New York Rangers,2
343,2010-11-27,Tampa Bay Lightning,3,Florida Panthers,4
346,2010-11-28,Washington Capitals,3,Carolina Hurricanes,2
358,2010-12-01,Columbus Blue Jackets,3,Nashville Predators,4
376,2010-12-03,Minnesota Wild,2,Calgary Flames,3
384,2010-12-04,Ottawa Senators,0,Buffalo Sabres,1
386,2010-12-04,Phoenix Coyotes,1,Florida Panthers,2
388,2010-12-04,Toronto Maple Leafs,3,Boston Bruins,2
396,2010-12-06,Columbus Blue Jackets,3,Dallas Stars,2
399,2010-12-06,Washington Capitals,4,Toronto Maple Leafs,5
402,2010-12-07,Edmonton Oilers,2,Anaheim Ducks,3
407,2010-12-08,Philadelphia Flyers,4,San Jose Sharks,5
409,2010-12-08,Vancouver Canucks,5,Anaheim Ducks,4
418,2010-12-10,Anaheim Ducks,3,Calgary Flames,2
420,2010-12-10,Dallas Stars,2,Carolina Hurricanes,1
422,2010-12-10,Edmonton Oilers,4,Tampa Bay Lightning,3
433,2010-12-11,St. Louis Blues,1,Carolina Hurricanes,2
445,2010-12-13,San Jose Sharks,2,Dallas Stars,3
456,2010-12-15,Tampa Bay Lightning,2,Atlanta Thrashers,1
459,2010-12-16,Atlanta Thrashers,2,Carolina Hurricanes,3
466,2010-12-16,New York Rangers,4,Phoenix Coyotes,3
478,2010-12-18,New York Islanders,3,Phoenix Coyotes,4
510,2010-12-23,Dallas Stars,2,Calgary Flames,3
511,2010-12-23,Los Angeles Kings,3,Edmonton Oilers,2
514,2010-12-23,New York Rangers,3,Tampa Bay Lightning,4
517,2010-12-23,Washington Capitals,2,Pittsburgh Penguins,3
529,2010-12-27,Columbus Blue Jackets,4,Minnesota Wild,3
532,2010-12-27,Florida Panthers,2,Boston Bruins,3
547,2010-12-29,New York Islanders,2,Pittsburgh Penguins,1
550,2010-12-30,Atlanta Thrashers,3,Boston Bruins,2
552,2010-12-30,Edmonton Oilers,3,Colorado Avalanche,4
565,2011-01-01,Buffalo Sabres,7,Boston Bruins,6
600,2011-01-06,Montreal Canadiens,2,Pittsburgh Penguins,1
603,2011-01-06,Toronto Maple Leafs,6,St. Louis Blues,5
606,2011-01-07,Calgary Flames,4,Detroit Red Wings,5
607,2011-01-07,Chicago Blackhawks,3,Ottawa Senators,2
608,2011-01-07,Dallas Stars,2,New York Rangers,3
620,2011-01-08,Vancouver Canucks,1,Detroit Red Wings,2
633,2011-01-11,Carolina Hurricanes,6,Calgary Flames,5
638,2011-01-11,New York Islanders,3,Vancouver Canucks,4
654,2011-01-14,Columbus Blue Jackets,3,Detroit Red Wings,2
666,2011-01-15,Nashville Predators,3,Chicago Blackhawks,2
670,2011-01-15,Toronto Maple Leafs,1,Calgary Flames,2
678,2011-01-17,Florida Panthers,2,Atlanta Thrashers,3
686,2011-01-18,Ottawa Senators,1,Anaheim Ducks,2
691,2011-01-18,Tampa Bay Lightning,3,Columbus Blue Jackets,2
695,2011-01-20,Atlanta Thrashers,2,Tampa Bay Lightning,3
706,2011-01-20,Vancouver Canucks,1,San Jose Sharks,2
709,2011-01-21,Florida Panthers,1,Tampa Bay Lightning,2
711,2011-01-22,Atlanta Thrashers,2,New York Rangers,3
714,2011-01-22,Montreal Canadiens,3,Anaheim Ducks,4
